# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
62.000000,1403638584.127830,1.000000,0.614830,0.549512,-0.002640,0.020959,0.076329,9.874819,-120.183155,22.684899,-75.496491,-29.719862,92.558871
63.000000,1403638585.127830,1.000000,0.523890,0.549512,-0.002838,0.021974,0.077144,-3.423227,121.900118,-5.004160,88.464046,42.894798,-72.983542
64.000000,1403638586.127830,1.000000,0.226282,0.549512,-0.002624,0.022088,0.078708,-1.103002,-0.740555,-2.165923,-2.202359,9.544019,2.577665
65.000000,1403638587.127830,1.000000,0.118893,0.549512,-0.001509,0.022237,0.077621,25.732639,30.406981,76.816813,75.849630,-5.533605,42.462280
66.000000,1403638588.127830,1.000000,0.346990,0.549512,-0.003055,0.021514,0.077275,-49.348462,-13.916008,-143.721958,-110.207751,48.834057,-94.039745
67.000000,1403638590.127830,1.000000,0.455079,0.549512,-0.002111,0.021677,0.076684,-2.383649,22.615897,-6.702971,12.003698,17.086598,-14.906882
68.000000,1403638590.127830,1.000000,0.455079,0.549512,-0.002111,0.021677,0.076684,-2.383649,22.615897,-6.702971,12.003698,17.086598,-14.906882
69.000000,1403638592.127830,1.000000,0.548900,0.549512,-0.002900,0.019499,0.076628,-0.003955,-0.862433,0.221234,-0.751408,8.797462,4.364744
70.000000,1403638592.127830,1.000000,0.548900,0.549512,-0.002900,0.019499,0.076628,-0.003955,-0.862433,0.221234,-0.751408,8.797462,4.364744
71.000000,1403638594.127830,1.000000,0.441108,0.549512,-0.002672,0.019890,0.076416,-1.261506,2.665852,-3.354191,0.482321,10.762839,-0.251991
72.000000,1403638594.127830,1.000000,0.441108,0.549512,-0.002672,0.019890,0.076416,-1.261506,2.665852,-3.354191,0.482321,10.762839,-0.251991
73.000000,1403638595.127830,1.000000,0.298630,0.549512,-0.003043,0.020966,0.078327,-42.582363,-31.394790,-123.752269,-90.108273,46.186550,-89.144151
74.000000,1403638596.127830,1.000000,0.618343,0.549512,-0.004468,0.020814,0.077045,-10.863384,2.487506,-30.789268,-13.552523,20.234046,-23.986148
75.000000,1403638597.127830,1.000000,0.582415,0.549512,-0.004544,0.020387,0.075259,0.166187,0.304440,0.864952,0.466603,8.826245,4.356578
76.000000,1403638598.127830,1.000000,0.599520,0.549512,-0.011040,0.023074,0.078167,0.105029,1.072974,0.336699,0.987158,9.133255,3.622859
77.000000,1403638599.127830,1.000000,0.741690,0.549512,-0.011331,0.021680,0.074503,0.817639,-1.471217,2.261114,-1.435288,8.128066,6.000278
78.000000,1403638600.127830,1.000000,0.510963,0.549512,-0.007239,0.022064,0.078725,0.474540,-1.903324,1.514919,-2.194447,8.370891,5.264221
79.000000,1403638601.127830,1.000000,0.567397,0.549512,-0.007924,0.021816,0.077371,-0.630480,-0.471791,-1.263453,-0.720338,9.609101,2.358118
