# index, flag, s_computed, s_true, b_g_x, b_g_y, b_g_z, b_a_x, b_a_y, b_a_z, g_x, g_y, g_z 
53.000000,1.000000,0.991317,1.007187,-0.001655,0.025390,0.075441,0.064050,-0.345204,0.301248,-0.478736,9.415972,2.710422
54.000000,1.000000,1.030999,1.007187,-0.004162,0.014443,0.077683,-0.337087,-0.844914,-0.872072,0.913523,9.351010,2.821381
55.000000,1.000000,0.487930,1.007187,0.000921,0.026279,0.073916,7.628465,-6.119156,5.322463,-3.620189,5.076375,-7.573688
56.000000,1.000000,0.945083,1.007187,-0.002515,0.022409,0.073761,-0.559599,-2.623288,-2.646813,3.395571,8.990519,1.968896
57.000000,1.000000,0.682517,1.007187,-0.002679,0.017494,0.080482,2.401001,-7.098985,-5.168539,6.763592,6.713171,-2.328789
58.000000,1.000000,0.207603,1.007187,-0.002732,0.020933,0.073706,7.748447,7.310018,-9.600257,2.319213,-3.467399,8.878729
59.000000,1.000000,0.973156,1.007187,0.001367,0.019096,0.081028,-0.168847,0.317262,-0.707270,0.235641,9.137588,3.561610
60.000000,1.000000,0.926635,1.007187,-0.003839,0.019485,0.076786,-0.088052,-0.641093,-0.309853,-0.394728,9.494735,2.435225
61.000000,1.000000,0.849231,1.007187,-0.005436,0.021148,0.080745,1.308026,6.291078,-2.693826,5.545499,6.199513,5.200921
62.000000,1.000000,0.784595,1.007187,-0.007143,0.025405,0.073583,-0.074745,-0.001524,0.072430,-0.397029,9.226321,3.309601
63.000000,1.000000,0.965270,1.007187,-0.004161,0.016828,0.075156,0.278742,0.113934,0.647763,-0.947243,9.340213,2.845918
64.000000,1.000000,0.919650,1.007187,-0.007914,0.021182,0.074755,-0.144344,0.188008,-0.196232,-0.480094,9.159406,3.480069
65.000000,1.000000,0.748508,1.007187,-0.006661,0.023009,0.072310,-0.260569,0.406468,-0.416641,-1.127655,9.333635,2.801387
66.000000,1.000000,0.748508,1.007187,-0.006661,0.023009,0.072310,-0.260569,0.406468,-0.416641,-1.127655,9.333635,2.801387
67.000000,1.000000,1.007560,1.007187,-0.003299,0.027753,0.074727,0.133571,-0.524930,0.227962,-0.664792,8.984152,3.883190
68.000000,1.000000,1.036703,1.007187,-0.001859,0.016945,0.074602,-0.218072,0.131261,-0.305759,-0.591225,9.365387,2.859383
69.000000,1.000000,1.010124,1.007187,-0.003492,0.018263,0.076861,0.228360,1.596226,0.419236,0.942835,9.037891,3.696443
70.000000,0.000000,1.010124,1.007187,-0.001372,0.023282,0.073256,0.228360,1.596226,0.419236,0.942835,9.037891,3.696443
71.000000,1.000000,0.969329,1.007187,-0.002632,0.021466,0.073237,0.001320,0.182225,-0.114767,-0.332452,9.276430,3.173866
72.000000,1.000000,0.969329,1.007187,-0.002632,0.021466,0.073237,0.001320,0.182225,-0.114767,-0.332452,9.276430,3.173866
73.000000,1.000000,0.850539,1.007187,0.000803,0.022023,0.078312,0.029939,2.032786,-0.127915,1.032429,8.768519,4.275894
74.000000,1.000000,0.885499,1.007187,-0.001118,0.019042,0.077055,-0.315067,-0.019813,-0.334295,-0.493285,9.383004,2.819925
75.000000,1.000000,1.072574,1.007187,-0.004620,0.023387,0.077331,-0.420648,-0.218326,-0.806805,-0.838650,9.481283,2.374457
76.000000,1.000000,0.757516,1.007187,-0.002693,0.021370,0.076541,2.939733,7.396730,-1.528812,6.965143,6.743925,1.464918
77.000000,1.000000,0.964495,1.007187,-0.002424,0.021917,0.077775,0.884934,0.287696,2.073942,-0.318591,8.306060,5.210030
78.000000,1.000000,0.964495,1.007187,-0.002424,0.021917,0.077775,0.884934,0.287696,2.073942,-0.318591,8.306060,5.210030
