# index, timestamp_s, flag, s_computed_(v), s_true, b_g_x_(i), b_g_y_(i), b_g_z_(i), b_a_x_(i), b_a_y_(i), b_a_z_(i), g_x_(v), g_y_(v), g_z_(v) 
63.000000,0.000000,1.000000,0.461931,0.538155,-0.004650,0.020602,0.075126,-0.000074,-0.000009,0.000018,0.692026,9.523771,2.248329
64.000000,0.000000,1.000000,0.425934,0.538155,-0.010485,0.021683,0.073196,-0.000003,-0.000002,-0.000002,0.861690,9.478481,2.377391
65.000000,0.000000,1.000000,0.547254,0.538155,-0.005693,0.020420,0.074204,-0.000030,-0.000006,0.000005,0.525634,9.447035,2.591010
66.000000,0.000000,1.000000,0.540179,0.538155,-0.007267,0.020323,0.074123,-0.000021,0.000010,0.000011,0.556537,9.463091,2.525128
67.000000,0.000000,1.000000,0.551406,0.538155,-0.001705,0.023924,0.070963,-0.000013,0.000001,0.000007,0.434257,9.490969,2.443161
68.000000,0.000000,1.000000,0.535133,0.538155,-0.003154,0.020474,0.077151,-0.000038,0.000009,0.000013,0.523223,9.472519,2.496743
69.000000,0.000000,1.000000,0.557853,0.538155,-0.002577,0.021461,0.077805,-0.000006,-0.000000,0.000002,0.470035,9.469965,2.516929
70.000000,0.000000,1.000000,0.557853,0.538155,-0.002577,0.021461,0.077805,-0.000006,-0.000000,0.000002,0.470035,9.469965,2.516929
71.000000,0.000000,1.000000,0.510483,0.538155,-0.002548,0.021723,0.076551,-0.000004,-0.000000,0.000001,0.515867,9.478333,2.476123
72.000000,0.000000,1.000000,0.516774,0.538155,-0.002210,0.022325,0.076846,-0.000020,-0.000000,0.000006,0.496783,9.471580,2.505690
73.000000,0.000000,1.000000,0.566839,0.538155,-0.001628,0.021063,0.077297,-0.000017,0.000000,0.000005,0.414374,9.487113,2.461521
74.000000,0.000000,1.000000,0.522497,0.538155,-0.002222,0.021684,0.076552,-0.000051,0.000001,0.000017,0.521666,9.464463,2.527431
75.000000,0.000000,1.000000,0.545877,0.538155,-0.002705,0.023042,0.077108,-0.000016,-0.000000,0.000005,0.499724,9.463634,2.534959
76.000000,0.000000,1.000000,0.570759,0.538155,-0.002065,0.019482,0.077234,-0.000025,0.000000,0.000014,0.593563,9.450642,2.563035
77.000000,0.000000,1.000000,0.570759,0.538155,-0.002065,0.019482,0.077234,-0.000025,0.000000,0.000014,0.593563,9.450642,2.563035
78.000000,0.000000,1.000000,0.459660,0.538155,-0.001568,0.020850,0.078476,-0.000022,0.000001,0.000009,0.407420,9.454515,2.585005
79.000000,0.000000,1.000000,0.503830,0.538155,-0.001962,0.022272,0.077941,-0.000012,-0.000000,0.000004,0.479262,9.476468,2.490573
80.000000,0.000000,1.000000,0.593264,0.538155,-0.003845,0.020871,0.077135,-0.000014,-0.000001,0.000005,0.496376,9.459816,2.549821
81.000000,0.000000,1.000000,0.433930,0.538155,-0.001485,0.022091,0.076789,0.000035,0.000005,-0.000005,0.693655,9.449745,2.541115
82.000000,0.000000,1.000000,0.544229,0.538155,-0.006092,0.018217,0.072672,-0.000012,-0.000001,0.000005,0.470600,9.503046,2.388882
83.000000,0.000000,1.000000,0.547852,0.538155,-0.003200,0.018695,0.075779,-0.000002,-0.000000,0.000000,0.478858,9.509184,2.362671
84.000000,0.000000,1.000000,0.504617,0.538155,-0.002630,0.021628,0.074320,-0.000021,-0.000002,0.000005,0.404951,9.481617,2.484160
85.000000,0.000000,1.000000,0.512541,0.538155,-0.001960,0.020161,0.074227,-0.000052,-0.000002,0.000014,0.435654,9.497691,2.416644
86.000000,0.000000,1.000000,0.503061,0.538155,-0.002262,0.021882,0.076017,-0.000020,-0.000002,0.000006,0.397658,9.481822,2.484556
87.000000,0.000000,1.000000,0.511173,0.538155,-0.002196,0.021027,0.075932,-0.000047,0.000001,0.000018,0.394592,9.495392,2.432677
88.000000,0.000000,1.000000,0.564104,0.538155,0.000064,0.020513,0.077715,-0.000009,-0.000000,0.000003,0.445231,9.482591,2.473528
89.000000,0.000000,1.000000,0.524668,0.538155,-0.003083,0.021303,0.077366,-0.000006,0.000001,0.000004,0.474379,9.469756,2.516900
90.000000,0.000000,1.000000,0.506689,0.538155,-0.000954,0.021946,0.077752,-0.000035,0.000000,0.000013,0.445989,9.485420,2.462518
91.000000,0.000000,1.000000,0.501621,0.538155,-0.002387,0.020880,0.076932,-0.000032,-0.000000,0.000011,0.441042,9.451555,2.590306
92.000000,0.000000,1.000000,0.543708,0.538155,-0.002503,0.021674,0.076695,0.000001,0.000000,-0.000000,0.430434,9.473998,2.508821
93.000000,0.000000,1.000000,0.600973,0.538155,-0.002241,0.021223,0.074635,-0.000019,-0.000000,0.000007,0.429490,9.469858,2.524566
94.000000,0.000000,1.000000,0.541915,0.538155,-0.002745,0.021377,0.077662,-0.000040,0.000001,0.000015,0.440676,9.473258,2.509837
